method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-gt-depth,1,2,0.129637,0.022407,0.730131,0.207389,0.203833,0.182813
active-gs-gt-depth,2,2,0.306299,0.055483,0.448393,0.152231,0.148096,0.023586
active-gs-gt-depth,3,2,0.366526,0.038502,0.460225,0.033157,0.196516,0.071093
active-gs-gt-depth,4,2,0.406432,0.053289,0.348580,0.043228,0.141718,0.074793
active-gs-gt-depth,5,2,0.413816,0.055008,0.388663,0.116312,0.134662,0.062539
active-gs-gt-depth,6,2,0.440970,0.063382,0.417581,0.107278,0.154058,0.076939
active-gs-gt-depth,7,2,0.578597,0.028837,0.370049,0.042440,0.167935,0.102472
active-gs-gt-depth,8,2,0.585916,0.023962,0.401066,0.021706,0.158146,0.093306
active-gs-gt-depth,9,2,0.633166,0.022940,0.398617,0.035902,0.192967,0.077459
active-gs-gt-depth,10,2,0.661745,0.008157,0.440300,0.031413,0.245206,0.115440
active-gs-gt-depth,11,2,0.671574,0.002651,0.425743,0.007531,0.215851,0.099687
active-gs-gt-depth,12,2,0.680971,0.006927,0.427892,0.004756,0.253305,0.092457
active-gs-gt-depth,13,2,0.716368,0.008095,0.396651,0.042344,0.194325,0.016350
active-gs-gt-depth,14,2,0.729461,0.006927,0.421373,0.062478,0.166009,0.000822
active-gs-gt-depth,15,2,0.731543,0.004896,0.405115,0.059365,0.163693,0.007215
active-gs-gt-depth,16,2,0.733908,0.005926,0.387631,0.051247,0.180484,0.002960
active-gs-gt-depth,17,2,0.738793,0.007562,0.380846,0.110175,0.185308,0.031246
active-gs-gt-depth,18,2,0.743164,0.004889,0.391324,0.094186,0.165548,0.028472
active-gs-gt-depth,19,2,0.745347,0.007072,0.397960,0.067658,0.169189,0.029107
active-gs-gt-depth,20,2,0.749601,0.008599,0.386215,0.067277,0.154433,0.038804
active-gs-gt-depth,21,2,0.761649,0.001513,0.382258,0.071168,0.156579,0.023775
active-gs-gt-depth,22,2,0.765407,0.003348,0.393435,0.071261,0.159040,0.025198
active-gs-gt-depth,23,2,0.772099,0.001530,0.419442,0.054877,0.160425,0.026762
active-gs-gt-depth,24,2,0.773303,0.001189,0.415385,0.007642,0.145575,0.023958
active-gs-gt-depth,25,2,0.775181,0.001516,0.388906,0.040417,0.135542,0.024404
active-gs-gt-depth,26,2,0.776411,0.001825,0.367587,0.018981,0.143443,0.015970
active-gs-gt-depth,27,2,0.777861,0.003188,0.383417,0.030305,0.137788,0.015755
active-gs-gt-depth,28,2,0.781081,0.005864,0.364262,0.025539,0.135877,0.019848
active-gs-gt-depth,29,2,0.783102,0.005186,0.356403,0.021167,0.133154,0.018208
active-gs-gt-depth,30,2,0.785801,0.003910,0.343011,0.030818,0.137096,0.017023
active-gs-gt-depth,31,2,0.787254,0.004464,0.336136,0.026634,0.132653,0.019687
active-gs-gt-depth,32,2,0.790918,0.001788,0.341586,0.017021,0.127546,0.021360
active-gs-gt-depth,33,2,0.792010,0.001262,0.322942,0.005677,0.135519,0.033739
active-gs-gt-depth,34,2,0.792717,0.000794,0.315302,0.000846,0.134134,0.036209
active-gs-gt-depth,35,2,0.793758,0.000696,0.322680,0.017583,0.125912,0.022751
active-gs-gt-depth,36,2,0.794718,0.000881,0.306652,0.000346,0.122505,0.017354
active-gs-gt-depth,37,2,0.797308,0.002898,0.296019,0.000453,0.142328,0.003229
active-gs-gt-depth,38,2,0.798022,0.003082,0.296013,0.004628,0.143977,0.001503
active-gs-gt-depth,39,2,0.798385,0.003003,0.299847,0.005651,0.149701,0.000262
active-gs-gt-depth,40,2,0.798740,0.003308,0.294702,0.018518,0.151498,0.000880
active-gs-gt-depth,41,2,0.799400,0.003678,0.281413,0.002824,0.146793,0.001398
active-gs-gt-depth,42,2,0.800463,0.002891,0.284064,0.024108,0.146345,0.000178
active-gs-gt-depth,43,2,0.801352,0.003184,0.285762,0.022413,0.142472,0.005874
active-gs-gt-depth,44,2,0.802462,0.003315,0.291388,0.032488,0.150651,0.007527
active-gs-gt-depth,45,2,0.803024,0.003435,0.301664,0.046626,0.155222,0.001553
active-gs-gt-depth,46,2,0.803449,0.003185,0.300368,0.045108,0.161934,0.008022
active-gs-gt-depth,47,2,0.803775,0.003307,0.298505,0.047247,0.162484,0.004739
active-gs-gt-depth,48,2,0.806361,0.001113,0.300295,0.051245,0.161264,0.006358
active-gs-gt-depth,49,2,0.807873,0.001763,0.302959,0.045264,0.158820,0.010552
active-gs-gt-depth,50,2,0.810042,0.001436,0.295683,0.040074,0.161963,0.015370
active-gs-gt-depth,51,2,0.811522,0.000580,0.290759,0.043621,0.160826,0.014941
active-gs-gt-depth,52,2,0.811932,0.000671,0.300243,0.035394,0.158228,0.015574
active-gs-gt-depth,53,2,0.813462,0.002143,0.302766,0.026353,0.158063,0.015801
active-gs-gt-depth,54,2,0.813872,0.002045,0.301114,0.021310,0.158440,0.013636
active-gs-gt-depth,55,2,0.814060,0.001893,0.306569,0.017985,0.158919,0.012841
active-gs-gt-depth,56,2,0.814166,0.001970,0.307439,0.016435,0.158093,0.011825
active-gs-gt-depth,57,2,0.815674,0.003420,0.305959,0.018623,0.153622,0.008860
active-gs-gt-depth,58,2,0.815891,0.003231,0.299380,0.015536,0.174820,0.011679
active-gs-gt-depth,59,2,0.816288,0.002879,0.303190,0.004682,0.181926,0.018358
active-gs-gt-depth,60,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,61,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,62,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,63,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,64,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,65,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,66,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,67,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,68,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,69,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,70,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,71,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,72,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,73,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,74,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,75,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,76,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,77,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,78,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,79,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-gt-depth,80,2,0.816360,0.002829,0.301231,0.001285,0.182521,0.018823
active-gs-pred-depth,1,2,0.129637,0.022407,0.727346,0.204835,0.203833,0.182813
active-gs-pred-depth,2,2,0.280328,0.044853,0.413857,0.097651,0.135090,0.116725
active-gs-pred-depth,3,2,0.429281,0.062472,0.374781,0.082802,0.371273,0.001563
active-gs-pred-depth,4,2,0.454338,0.073726,0.295293,0.000967,0.533578,0.135722
active-gs-pred-depth,5,2,0.472501,0.063889,0.289261,0.007335,0.507648,0.099106
active-gs-pred-depth,6,2,0.539097,0.003953,0.294102,0.038205,0.448886,0.162181
active-gs-pred-depth,7,2,0.546250,0.001269,0.273021,0.053596,0.429871,0.174610
active-gs-pred-depth,8,2,0.553840,0.000178,0.281978,0.055332,0.401632,0.213613
active-gs-pred-depth,9,2,0.608155,0.020966,0.299859,0.057178,0.466711,0.199720
active-gs-pred-depth,10,2,0.611949,0.022156,0.290815,0.057774,0.478814,0.168822
active-gs-pred-depth,11,2,0.616559,0.022174,0.308659,0.083145,0.481434,0.172741
active-gs-pred-depth,12,2,0.627265,0.031263,0.309690,0.009244,0.463612,0.203983
active-gs-pred-depth,13,2,0.639658,0.042800,0.335718,0.026142,0.409303,0.183353
active-gs-pred-depth,14,2,0.657142,0.059675,0.312872,0.013555,0.413637,0.176547
active-gs-pred-depth,15,2,0.674592,0.046616,0.306971,0.004374,0.453738,0.207180
active-gs-pred-depth,16,2,0.684815,0.039757,0.335987,0.029977,0.459670,0.200111
active-gs-pred-depth,17,2,0.714233,0.042525,0.330827,0.026416,0.400290,0.189250
active-gs-pred-depth,18,2,0.718407,0.043043,0.329632,0.037015,0.399743,0.168287
active-gs-pred-depth,19,2,0.720823,0.041621,0.312886,0.047661,0.399401,0.160711
active-gs-pred-depth,20,2,0.728449,0.036112,0.316085,0.064034,0.359700,0.135944
active-gs-pred-depth,21,2,0.731278,0.035321,0.308958,0.065413,0.397641,0.157270
active-gs-pred-depth,22,2,0.734307,0.032917,0.308237,0.060779,0.397276,0.150689
active-gs-pred-depth,23,2,0.745796,0.024257,0.294047,0.041515,0.367085,0.138274
active-gs-pred-depth,24,2,0.748973,0.026925,0.298449,0.032919,0.354690,0.153881
active-gs-pred-depth,25,2,0.751715,0.026316,0.302731,0.044050,0.324126,0.140143
active-gs-pred-depth,26,2,0.752891,0.026475,0.308875,0.044470,0.287940,0.116191
active-gs-pred-depth,27,2,0.753130,0.026236,0.312073,0.047668,0.284228,0.112479
active-gs-pred-depth,28,2,0.753155,0.026211,0.313747,0.049342,0.288894,0.117145
active-gs-pred-depth,29,2,0.760046,0.019320,0.292168,0.027762,0.281251,0.109501
active-gs-pred-depth,30,2,0.761802,0.017564,0.289343,0.024939,0.294262,0.122513
active-gs-pred-depth,31,2,0.762226,0.017140,0.299837,0.035433,0.297780,0.126030
active-gs-pred-depth,32,2,0.762226,0.017140,0.296591,0.032186,0.300310,0.128561
active-gs-pred-depth,33,2,0.763792,0.015574,0.302772,0.038367,0.302213,0.130464
active-gs-pred-depth,34,2,0.763905,0.015461,0.306906,0.042501,0.302961,0.131211
active-gs-pred-depth,35,2,0.774593,0.004773,0.309932,0.045527,0.288973,0.117224
active-gs-pred-depth,36,2,0.776911,0.002455,0.317875,0.053470,0.273521,0.101772
active-gs-pred-depth,37,2,0.777012,0.002354,0.324755,0.060350,0.272435,0.100686
active-gs-pred-depth,38,2,0.778169,0.001196,0.318781,0.054376,0.272698,0.100949
active-gs-pred-depth,39,2,0.778528,0.000837,0.323765,0.059360,0.270271,0.098522
active-gs-pred-depth,40,2,0.779022,0.000345,0.328010,0.063606,0.263939,0.092189
active-gs-pred-depth,41,2,0.780527,0.001161,0.332328,0.067923,0.262174,0.090425
active-gs-pred-depth,42,2,0.780617,0.001252,0.328542,0.064137,0.257300,0.085551
active-gs-pred-depth,43,2,0.781343,0.001977,0.326815,0.062410,0.249559,0.077810
active-gs-pred-depth,44,2,0.781419,0.002053,0.323488,0.059083,0.245236,0.073487
active-gs-pred-depth,45,2,0.781495,0.002129,0.317711,0.053306,0.238780,0.067031
active-gs-pred-depth,46,2,0.781858,0.002492,0.321287,0.056882,0.240614,0.068865
active-gs-pred-depth,47,2,0.782681,0.003315,0.328867,0.064462,0.233012,0.061263
active-gs-pred-depth,48,2,0.782917,0.003551,0.320281,0.055876,0.235248,0.063499
active-gs-pred-depth,49,2,0.783084,0.003717,0.311765,0.047360,0.236084,0.064335
active-gs-pred-depth,50,2,0.785376,0.006010,0.316308,0.051903,0.232397,0.060648
active-gs-pred-depth,51,2,0.785561,0.006195,0.312010,0.047605,0.237374,0.065625
active-gs-pred-depth,52,2,0.785612,0.006246,0.317942,0.053537,0.234532,0.062783
active-gs-pred-depth,53,2,0.785626,0.006260,0.318205,0.053800,0.228650,0.056901
active-gs-pred-depth,54,2,0.786500,0.007134,0.319782,0.055377,0.222004,0.050255
active-gs-pred-depth,55,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,56,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,57,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,58,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,59,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,60,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,61,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,62,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,63,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,64,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,65,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,66,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,67,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,68,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
active-gs-pred-depth,69,2,0.786689,0.007323,0.320468,0.056063,0.220365,0.048616
