method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-gt-depth,1,3,0.103105,0.026834,0.413953,0.250444,0.134098,0.063756
active-gs-gt-depth,2,3,0.220512,0.108007,0.435836,0.228999,0.256091,0.155689
active-gs-gt-depth,3,3,0.301829,0.121116,0.452631,0.226142,0.371427,0.150200
active-gs-gt-depth,4,3,0.383131,0.173162,0.495022,0.192561,0.240355,0.088154
active-gs-gt-depth,5,3,0.420890,0.199536,0.506795,0.182769,0.303439,0.069940
active-gs-gt-depth,6,3,0.434518,0.208769,0.485977,0.197337,0.329263,0.080524
active-gs-gt-depth,7,3,0.465361,0.231462,0.459908,0.211783,0.218247,0.043237
active-gs-gt-depth,8,3,0.473320,0.236911,0.478509,0.198745,0.216137,0.050829
active-gs-gt-depth,9,3,0.499584,0.255054,0.476530,0.199931,0.218844,0.037575
active-gs-gt-depth,10,3,0.505760,0.259533,0.464720,0.208326,0.205592,0.021625
active-gs-gt-depth,11,3,0.511120,0.263489,0.454809,0.215346,0.190999,0.025022
active-gs-gt-depth,12,3,0.524488,0.272743,0.504307,0.193452,0.184992,0.032663
active-gs-gt-depth,13,3,0.531899,0.277859,0.510391,0.184101,0.155353,0.048413
active-gs-gt-depth,14,3,0.537396,0.281731,0.500246,0.189905,0.152674,0.050690
active-gs-gt-depth,15,3,0.541974,0.284989,0.510058,0.179840,0.168582,0.038826
active-gs-gt-depth,16,3,0.543918,0.286298,0.501592,0.183058,0.172671,0.035968
active-gs-gt-depth,17,3,0.552482,0.292185,0.481130,0.197307,0.166478,0.041741
active-gs-gt-depth,18,3,0.556877,0.295291,0.459417,0.213367,0.169015,0.039990
active-gs-gt-depth,19,3,0.561171,0.298327,0.425622,0.236894,0.169397,0.039900
active-gs-gt-depth,20,3,0.562185,0.299046,0.407658,0.248656,0.164695,0.044267
active-gs-gt-depth,21,3,0.563560,0.300013,0.426367,0.236095,0.161653,0.045714
active-gs-gt-depth,22,3,0.564095,0.300391,0.430509,0.233189,0.160227,0.046247
active-gs-gt-depth,23,3,0.564647,0.300781,0.405943,0.250938,0.157543,0.048049
active-gs-gt-depth,24,3,0.566563,0.302136,0.412622,0.246180,0.165832,0.043111
active-gs-gt-depth,25,3,0.567258,0.302627,0.423462,0.237525,0.169339,0.040444
active-gs-gt-depth,26,3,0.570084,0.304625,0.419534,0.240271,0.165297,0.043865
active-gs-gt-depth,27,3,0.571103,0.305345,0.415957,0.242810,0.163457,0.043948
active-gs-gt-depth,28,3,0.572112,0.306059,0.406360,0.249598,0.161242,0.045434
active-gs-gt-depth,29,3,0.572564,0.306379,0.404924,0.250593,0.163909,0.044085
active-gs-gt-depth,30,3,0.572996,0.306685,0.392052,0.260399,0.164815,0.043425
active-gs-gt-depth,31,3,0.574441,0.307712,0.393335,0.259044,0.163303,0.044247
active-gs-gt-depth,32,3,0.575241,0.308275,0.389950,0.261492,0.164100,0.043262
active-gs-gt-depth,33,3,0.575849,0.308707,0.387672,0.263070,0.167940,0.039458
active-gs-gt-depth,34,3,0.576748,0.309342,0.387632,0.263606,0.170647,0.037446
active-gs-gt-depth,35,3,0.577836,0.310121,0.381113,0.268103,0.178751,0.032007
active-gs-gt-depth,36,3,0.578823,0.310819,0.392260,0.262410,0.170878,0.038090
active-gs-gt-depth,37,3,0.580009,0.311648,0.376967,0.271273,0.170376,0.038513
active-gs-gt-depth,38,3,0.580736,0.312166,0.374555,0.272123,0.167379,0.040302
active-gs-gt-depth,39,3,0.581553,0.312739,0.366372,0.277836,0.168286,0.039830
active-gs-gt-depth,40,3,0.581728,0.312862,0.359285,0.282836,0.167487,0.040879
active-gs-gt-depth,41,3,0.582558,0.313451,0.356850,0.284561,0.177879,0.038343
active-gs-gt-depth,42,3,0.583088,0.313829,0.351894,0.288065,0.177784,0.037108
active-gs-gt-depth,43,3,0.584014,0.314488,0.349120,0.290031,0.177869,0.037334
active-gs-gt-depth,44,3,0.584274,0.314671,0.349612,0.289719,0.177020,0.037015
active-gs-gt-depth,45,3,0.584324,0.314707,0.346290,0.292040,0.178173,0.036670
active-gs-gt-depth,46,3,0.584951,0.315153,0.344891,0.293014,0.176414,0.036009
active-gs-gt-depth,47,3,0.585034,0.315213,0.342579,0.294650,0.173416,0.036579
active-gs-gt-depth,48,3,0.585661,0.315663,0.342255,0.294958,0.173619,0.035760
active-gs-gt-depth,49,3,0.585845,0.315796,0.337018,0.298624,0.178363,0.032465
active-gs-gt-depth,50,3,0.586419,0.316206,0.337996,0.297911,0.174782,0.036674
active-gs-gt-depth,51,3,0.587354,0.316884,0.336397,0.299028,0.178225,0.036276
active-gs-gt-depth,52,3,0.589448,0.318350,0.334484,0.300397,0.179144,0.036229
active-gs-gt-depth,53,3,0.590228,0.318894,0.334720,0.300207,0.177154,0.037491
active-gs-gt-depth,54,3,0.590261,0.318917,0.339542,0.296842,0.175135,0.038339
active-gs-gt-depth,55,3,0.590352,0.318981,0.338000,0.297900,0.173839,0.039517
active-gs-gt-depth,56,3,0.592188,0.320261,0.338690,0.297421,0.168013,0.041368
active-gs-gt-depth,57,3,0.592683,0.320612,0.338953,0.297215,0.165989,0.040969
active-gs-gt-depth,58,3,0.593209,0.320982,0.337995,0.297890,0.165843,0.040961
