method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-gt-depth,62,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,63,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,64,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,65,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,66,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,67,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,68,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,69,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,70,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,71,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,72,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,73,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,74,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,75,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,76,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,77,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,78,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,79,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-gt-depth,80,18,0.599632,0.314165,0.455024,0.370308,0.187427,0.048761
active-gs-pred-depth,1,18,0.134569,0.033899,0.722580,0.316724,0.190226,0.113305
active-gs-pred-depth,2,18,0.241082,0.089936,0.595247,0.314513,0.212512,0.152144
active-gs-pred-depth,3,18,0.332812,0.129021,0.535051,0.319071,0.304872,0.179478
